Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
487360	"Students (BSc, MSc, PhD)"	Male	No answer	Serbian	NA	
485175	"Students (BSc, MSc, PhD)"	Male	No answer	American	"To avoid social & sensory over-stimulation, a low stimulus room"" would be great (no talking, no phone calls). This low sensory input space was e.g. available at Evolution 2022, and a very welcome addition to the busy surroundings of the conference. If feasible with the venue's capacity, this would be great."""	
498278	"Students (BSc, MSc, PhD)"	Female	No answer	Spanish	NA	
486807	"Senior position, lecturers, researchers"	Female	No	NA	NA	
485915	Post doctorate or almost	Female	No	Czech	"No, I don´t."	
487873	"Senior position, lecturers, researchers"	Male	No	Dutch	NA	
504922	"Senior position, lecturers, researchers"	No answer	No answer	NA	NA	
493671	"Students (BSc, MSc, PhD)"	Female	No	American	NA	
485425	"Senior position, lecturers, researchers"	Male	No	German	NA	
486294	"Senior position, lecturers, researchers"	Female	No	NA	NA	
487923	"Senior position, lecturers, researchers"	Male	No answer	Gambian	NO	
501817	"Students (BSc, MSc, PhD)"	Female	No	NA	no	
485756	"Students (BSc, MSc, PhD)"	Male	No	British	No	
485985	Post doctorate or almost	Male	No	Australian	NA	
504776	"Students (BSc, MSc, PhD)"	Female	Yes	German	NA	
482205	"Students (BSc, MSc, PhD)"	Female	No answer	Portugese	NA	
506668	Post doctorate or almost	Male	No	Colombian	No	
399483	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
486929	"Students (BSc, MSc, PhD)"	Male	No	French	NA	
396938	Post doctorate or almost	Male	No	German	"Yes, I would like captions to be available throughout the conference."	
486386	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
487239	Professor or associate	Female	No	Austrian	no	
486508	"Students (BSc, MSc, PhD)"	Female	No	NA	NA	
482337	"Senior position, lecturers, researchers"	Female	No	British	NA	
506337	Post doctorate or almost	Male	No	Indian	NA	
491242	Post doctorate or almost	Female	No	Spanish	NA	
504343	Professor or associate	Female	No	Spanish	NA	
485027	"Students (BSc, MSc, PhD)"	Male	No	Irish	NA	
483661	Professor or associate	Female	No	Spanish	NA	
504557	Post doctorate or almost	Female	No	Australian	No	
498649	"Students (BSc, MSc, PhD)"	No answer	No	Swiss	NA	
502680	"Senior position, lecturers, researchers"	Male	No	Portugese	NA	
485350	"Senior position, lecturers, researchers"	Male	No	British	no	
485940	"Students (BSc, MSc, PhD)"	Female	No	French	NA	
487310	"Students (BSc, MSc, PhD)"	Male	No	British	NA	
486859	"Students (BSc, MSc, PhD)"	Male	No	British	NA	
482221	"Senior position, lecturers, researchers"	Female	No	British	NA	
504050	Post doctorate or almost	Female	Yes	American	no	
485170	"Senior position, lecturers, researchers"	Female	Yes	American	NA	
483605	Post doctorate or almost	No answer	No answer	NA	NA	
